Date,Open,High,Low,Close,Volume,Adj. Close
2016-02-11,379.71,383.0,375.0,377.35,7109.52224382,377.35
2016-02-12,376.1,383.0,373.54,382.25,6887.8972106,382.25
2016-02-13,382.25,389.35,380.52,387.9,7711.17950753,387.9
2016-02-14,387.9,401.22,386.85,400.45,8665.21203865,400.45
2016-02-15,400.45,409.71,396.0,401.15,9113.79623633,401.15
2016-02-16,401.0,407.8,393.4,405.53,7808.70887529,405.53
2016-02-17,406.48,420.0,403.96,418.84,9914.2009306,418.84
2016-02-18,418.84,424.9,412.02,417.49,10265.2454824,417.49
2016-02-19,417.46,422.0,414.0,419.54,6003.40345854,419.54
2016-02-20,419.91,433.37,416.66,430.0,6522.15183549,430.0
2016-02-21,429.38,447.99,425.98,430.86,15589.7146366,430.86
2016-02-22,431.97,439.0,430.9,437.52,4979.21781589,437.52
2016-02-23,437.95,440.0,416.36,421.9,9180.99757856,421.9
2016-02-24,421.9,424.19,409.07,423.96,9345.022207,423.96
2016-02-25,422.24,426.75,415.79,422.43,5582.39213443,422.43
2016-02-26,422.43,425.0,418.01,424.5,4107.90865012,424.5
2016-02-27,424.44,435.0,422.01,431.42,5033.37060646,431.42
2016-02-28,431.42,435.0,422.29,432.84,3459.18563168,432.84
2016-02-29,431.94,440.99,428.12,436.02,7468.12320326,436.02
2016-03-01,436.24,437.64,427.33,432.67,5977.85328054,432.67
2016-03-02,432.03,434.5,427.01,430.48,6275.77164795,430.48
2016-03-03,429.45,430.98,415.85,421.6,7151.39009468,421.6
2016-03-04,421.6,423.9,416.0,420.69,6395.22418667,420.69
2016-03-05,420.69,420.69,382.0,394.66,16618.7079356,394.66
2016-03-06,395.45,411.26,390.0,411.26,8132.15396601,411.26
2016-03-07,411.26,412.31,403.0,410.25,5473.31605486,410.25
2016-03-08,410.24,414.99,408.46,411.8,5944.89369058,411.8
2016-03-09,411.8,413.5,408.75,412.0,4920.60972899,412.0
2016-03-10,411.53,416.9,409.31,415.98,5770.76980467,415.98
2016-03-11,415.8,421.91,414.7,420.96,5766.11058665,420.96
2016-03-12,420.5,421.6,409.62,409.62,4489.63125584,409.62
2016-03-13,409.62,417.0,406.59,412.5,3708.72783268,412.5
2016-03-14,412.09,415.22,410.5,413.73,3943.04525712,413.73
2016-03-15,413.75,417.43,411.5,415.25,4449.53016495,415.25
2016-03-16,415.25,417.3,413.15,414.8,4289.51611765,414.8
2016-03-17,414.8,419.0,413.67,418.94,4462.77438543,418.94
2016-03-18,418.79,419.0,406.66,407.98,4432.63004744,407.98
2016-03-19,407.98,409.95,403.34,406.9,4961.71029401,406.9
2016-03-20,406.7,412.0,404.1,410.28,2353.97466539,410.28
2016-03-21,410.28,411.96,406.5,410.29,3196.24730512,410.29
2016-03-22,411.04,416.0,407.21,415.52,4027.08455177,415.52
2016-03-23,415.8,417.5,413.44,417.07,4580.23152582,417.07
2016-03-24,417.07,419.0,412.85,415.78,3581.15473131,415.78
2016-03-25,415.83,417.0,412.0,415.98,2820.48752362,415.98
2016-03-26,415.98,416.99,414.07,415.27,1496.93141764,415.27
2016-03-27,415.27,424.99,414.0,424.99,2020.2072569,424.99
2016-03-28,424.99,427.99,421.17,421.47,5836.31053919,421.47
2016-03-29,422.57,424.37,407.22,412.0,5499.56660633,412.0
2016-03-30,412.63,416.2,408.59,412.0,4629.74872574,412.0
2016-03-31,411.97,415.99,410.08,414.29,3878.84258016,414.29
2016-04-01,414.76,416.99,413.42,416.8,3568.18563106,416.8
2016-04-02,416.51,420.0,414.42,418.27,3121.9322495,418.27
2016-04-03,418.27,419.5,416.1,418.57,1389.96715336,418.57
2016-04-04,418.7,419.49,416.0,419.29,3045.7783183,419.29
2016-04-05,419.29,423.0,416.61,421.75,3866.73590106,421.75
2016-04-06,422.44,422.9,420.26,421.83,2493.7692298,421.83
2016-04-07,422.2,422.48,418.21,421.23,2798.92749091,421.23
2016-04-08,421.7,423.99,417.3,422.41,3704.99597327,422.41
2016-04-09,423.1,423.89,412.0,418.34,5348.74995037,418.34
2016-04-10,417.92,421.54,417.02,420.47,1549.43256635,420.47
2016-04-11,420.48,421.99,418.0,421.29,3020.04481893,421.29
2016-04-12,421.29,426.67,419.52,425.87,5215.35442176,425.87
2016-04-13,425.98,426.29,422.94,423.69,4904.54341621,423.69
2016-04-14,423.7,425.2,420.57,424.69,4069.52947527,424.69
2016-04-15,424.69,430.0,423.02,428.17,3733.61561093,428.17
2016-04-16,429.12,432.87,426.61,429.72,2796.54266645,429.72
2016-04-17,429.72,430.98,426.19,428.07,1480.26804321,428.07
2016-04-18,426.49,430.01,424.24,426.69,2966.76194422,426.69
2016-04-19,426.69,430.64,426.0,429.0,2655.33457268,429.0
2016-04-20,429.1,440.0,428.32,440.0,7009.66000984,440.0
2016-04-21,440.0,444.84,438.58,444.78,4926.65039681,444.78
2016-04-22,444.77,452.11,442.96,447.31,7255.67289319,447.31
2016-04-23,448.02,450.57,444.46,448.16,2356.03956259,448.16
2016-04-24,448.98,457.8,446.04,450.25,3802.79189741,450.25
2016-04-25,450.25,470.02,449.86,460.19,7007.49568973,460.19
2016-04-26,460.24,469.47,459.46,466.17,6063.22580468,466.17
2016-04-27,466.32,469.87,448.3,456.08,6309.06574142,456.08
2016-04-28,456.29,457.38,435.0,450.18,9133.17816251,450.18
2016-04-29,450.18,453.0,445.62,452.48,3623.28405452,452.48
2016-04-30,452.48,456.9,450.55,451.81,2322.54080442,451.81
2016-05-01,451.8,453.74,446.5,452.2,2253.28436832,452.2
2016-05-02,452.9,453.8,438.59,443.49,4851.85902449,443.49
2016-05-03,442.82,450.19,440.55,448.01,5310.97491805,448.01
2016-05-04,448.01,452.0,444.15,446.92,4344.75463064,446.92
2016-05-05,446.48,449.0,444.65,446.66,2443.28817638,446.66
2016-05-06,447.31,454.22,446.18,453.08,3924.33761006,453.08
2016-05-07,453.08,463.97,452.57,457.37,4190.08352183,457.37
2016-05-08,458.16,461.0,455.95,459.33,1579.74494725,459.33
2016-05-09,459.33,463.5,455.62,463.5,2619.19234899,463.5
2016-05-10,462.13,464.79,447.38,451.64,5100.85471027,451.64
2016-05-11,451.21,457.99,449.7,453.6,4653.35197019,453.6
2016-05-12,453.42,453.93,448.88,452.51,2861.62300815,452.51
2016-05-13,452.51,455.99,450.14,454.53,3210.13508026,454.53
2016-05-14,454.91,456.99,453.51,455.4,1807.06674115,455.4
2016-05-15,455.86,457.25,454.72,456.07,1135.55775257,456.07
2016-05-16,456.02,458.08,455.11,457.5,2431.4639514,457.5
2016-05-17,457.5,457.62,451.11,453.81,3842.35715155,453.81
2016-05-18,454.41,455.68,452.0,455.4,2922.07208457,455.4
2016-05-19,455.42,455.42,447.12,448.22,4470.46399864,448.22
2016-05-20,448.22,448.82,435.03,442.4,5041.60288393,442.4
2016-05-21,442.4,443.76,435.28,442.94,2573.61669318,442.94
2016-05-22,442.48,443.98,439.9,442.0,1004.44261778,442.0
2016-05-23,442.0,442.2,435.0,441.94,3675.47791109,441.94
2016-05-24,441.94,446.37,441.0,446.15,2970.72737371,446.15
2016-05-25,445.55,449.6,443.58,447.69,3722.53274296,447.69
2016-05-26,447.79,452.21,446.8,452.0,3608.66462522,452.0
2016-05-27,451.74,478.16,450.6,472.01,11216.4747799,472.01
2016-05-28,472.01,498.0,468.0,493.09,8989.49558728,493.09
2016-05-29,493.09,529.08,485.0,517.0,8761.27906213,517.0
